"Infront AS (Company)","50"
"Alcumus Group Limited (Company)","40"
"DWF Group plc (Company) (ID:5239112)","0"
"IntoUniversity (Organisation)","10"
"Lancôme (Company)","0"
"Informa Plc (Company)","25"
"PRADA S.P.A. (Company)","50"
"Infront (Company)","0"
"Aesop (Company)","20"
"Bidco (Company)","20"
"Rothschild & Co S.C.A. (Company)","0"
"DASH TopCo AS (Company)","45"
"Topco (Holding company, food industry)","0"
"IT Cosmetics (Company)","30"
"Inflexion (Organization)","35"
"SkinCeuticals (Company)","20"
"CeraVe (Company)","0"
"Eversheds Sutherland (Company)","0"
"Deloitte LLP (Company)","0"
"L'OREAL (U.K.) LIMITED (Company)","50"
"Maybelline New York (Company)","25"
"Sparta Global (Company)","0"
"IMPETUS - THE PRIVATE EQUITY FOUNDATION AS TRUSTEE OF THE YOUTH ENDOWMENT FUND (Organization)","0"
"UN Global Compact (Organisation)","0"
"Galderma (Company)","20"
"CDP (Organisation)","0"
"The Body Shop (Company)","30"
"Medik8 Limited (Company)","45"
"GlobalData (Company)","20"
